Date,Open,High,Low,Close,Adj Close,Volume
2017-03-16,11619.05957,11630.929688,11583.429688,11600.240234,11600.240234,3365660000
2017-03-17,11614.900391,11621.570313,11582.469727,11589.009766,11589.009766,5178040000
2017-03-20,11582.719727,11591.330078,11540.450195,11556.929688,11556.929688,3054930000
2017-03-21,11598.55957,11607.230469,11412.879883,11420.429688,11420.429688,4265590000
2017-03-22,11406.599609,11440.879883,11372.299805,11426.69043,11426.69043,3572730000
2017-03-23,11410.469727,11494.040039,11404.160156,11430.889648,11430.889648,3260600000
2017-03-24,11440.910156,11468.919922,11381.959961,11418.889648,11418.889648,2975130000
2017-03-27,11341.320313,11427.849609,11324.5,11414.330078,11414.330078,3240230000
2017-03-28,11403.709961,11511.879883,11402.740234,11493.839844,11493.839844,3367780000
2017-03-29,11463.730469,11507.519531,11445.719727,11496.669922,11496.669922,3106940000
2017-03-30,11494.860352,11537.700195,11488.580078,11519.839844,11519.839844,3158420000
2017-03-31,11497.80957,11528.290039,11489.879883,11492.849609,11492.849609,3354110000
2017-04-03,11495.330078,11502.25,11394.339844,11463.910156,11463.910156,3416400000
2017-04-04,11463.780273,11472.040039,11424.169922,11470.540039,11470.540039,3206240000
2017-04-05,11501.620117,11560.820313,11418.860352,11423.360352,11423.360352,3770520000
2017-04-06,11426.580078,11485.379883,11410.450195,11457.290039,11457.290039,3201920000
2017-04-07,11444.299805,11483.719727,11428.360352,11445.580078,11445.580078,3053150000
2017-04-10,11454.110352,11496.730469,11435.709961,11464.339844,11464.339844,2785410000
2017-04-11,11456.209961,11474.669922,11393.379883,11473.620117,11473.620117,3117420000
2017-04-12,11460.219727,11462.509766,11405.549805,11423.169922,11423.169922,3196950000
2017-04-13,11390.75,11420.389648,11324.530273,11324.530273,11324.530273,3143890000
2017-04-17,11351.669922,11427.240234,11343.259766,11427.080078,11427.080078,2824710000
2017-04-18,11426.830078,11426.830078,11333.740234,11378.580078,11378.580078,3269840000
2017-04-19,11401.990234,11416.900391,11327.219727,11342.419922,11342.419922,3519900000
2017-04-20,11375.660156,11449.150391,11366.959961,11426.910156,11426.910156,3647420000
2017-04-21,11419.490234,11427.639648,11372.410156,11389.129883,11389.129883,3503360000
2017-04-24,11515.009766,11546.089844,11512.139648,11531.790039,11531.790039,3690650000
2017-04-25,11573.669922,11619.040039,11571.099609,11603.280273,11603.280273,3995240000
2017-04-26,11594.669922,11653.169922,11590.320313,11592.910156,11592.910156,4105920000
2017-04-27,11601.330078,11601.330078,11545.849609,11578.519531,11578.519531,4098460000
2017-04-28,11579.30957,11579.30957,11531.889648,11536.070313,11536.070313,3718270000
2017-05-01,11550.410156,11569.450195,11525.160156,11536.490234,11536.490234,0
2017-05-02,11554.099609,11562.639648,11529.870117,11551.299805,11551.299805,3813680000
2017-05-03,11527.889648,11537.05957,11493.320313,11529.660156,11529.660156,3893990000
2017-05-04,11544.139648,11546.219727,11490.419922,11534.709961,11534.709961,4362540000
2017-05-05,11554.080078,11615.610352,11552.360352,11615.610352,11615.610352,3540140000
2017-05-08,11607.280273,11612.179688,11571.459961,11595.259766,11595.259766,3429440000
2017-05-09,11602.419922,11604.719727,11547.080078,11567.519531,11567.519531,3653590000
2017-05-10,11571.719727,11599.5,11561.269531,11598.990234,11598.990234,3643530000
2017-05-11,11572.0,11574.450195,11508.169922,11563.599609,11563.599609,3727420000
2017-05-12,11551.360352,11557.820313,11531.120117,11547.049805,11547.049805,3305630000
2017-05-15,11547.44043,11628.240234,11547.44043,11614.230469,11614.230469,3473600000
2017-05-16,11635.0,11642.849609,11594.820313,11606.490234,11606.490234,3420790000
2017-05-17,11522.969727,11530.519531,11422.580078,11423.530273,11423.530273,0
2017-05-18,11392.900391,11479.0,11374.639648,11434.05957,11434.05957,4319420000
2017-05-19,11475.009766,11573.209961,11474.519531,11542.69043,11542.69043,3825160000
2017-05-22,11574.830078,11592.519531,11560.379883,11585.209961,11585.209961,3172830000
2017-05-23,11602.379883,11620.269531,11587.820313,11604.620117,11604.620117,3213570000
2017-05-24,11605.290039,11626.139648,11593.429688,11621.230469,11621.230469,3389900000
2017-05-25,11641.360352,11666.900391,11623.19043,11639.299805,11639.299805,3535390000
2017-05-26,11625.320313,11635.459961,11617.169922,11631.870117,11631.870117,2805040000
2017-05-30,11607.0,11616.459961,11588.269531,11601.30957,11601.30957,3203160000
2017-05-31,11610.889648,11613.110352,11554.860352,11598.030273,11598.030273,4516110000
2017-06-01,11616.209961,11699.830078,11603.410156,11699.790039,11699.790039,0
2017-06-02,11702.129883,11728.799805,11684.959961,11718.700195,11718.700195,3461680000
2017-06-05,11700.459961,11711.580078,11683.139648,11693.679688,11693.679688,2912600000
2017-06-06,11661.94043,11693.099609,11644.139648,11671.459961,11671.459961,3357840000
2017-06-07,11677.820313,11698.150391,11635.570313,11667.730469,11667.730469,3572300000
2017-06-08,11664.519531,11702.639648,11655.129883,11678.919922,11678.919922,3728860000
2017-06-09,11678.860352,11754.75,11678.860352,11744.730469,11744.730469,4027340000
2017-06-12,11749.349609,11774.179688,11715.089844,11746.459961,11746.459961,4027750000
2017-06-13,11770.089844,11799.19043,11757.75,11796.790039,11796.790039,3275500000
2017-06-14,11810.870117,11811.5,11750.75,11779.80957,11779.80957,3555590000
2017-06-15,11703.25,11744.620117,11693.900391,11740.519531,11740.519531,3353050000
2017-06-16,11745.299805,11772.030273,11716.69043,11772.019531,11772.019531,5284720000
2017-06-19,11801.830078,11836.959961,11800.419922,11833.339844,11833.339844,3264700000
2017-06-20,11801.200195,11801.200195,11736.870117,11738.950195,11738.950195,3416510000
2017-06-21,11742.480469,11753.30957,11678.900391,11696.280273,11696.280273,3594820000
2017-06-22,11704.120117,11741.879883,11697.929688,11712.519531,11712.519531,3468210000
2017-06-23,11716.580078,11750.330078,11702.099609,11733.200195,11733.200195,5278330000
2017-06-26,11761.450195,11793.540039,11741.790039,11758.860352,11758.860352,3238970000
2017-06-27,11765.799805,11787.599609,11716.919922,11716.919922,11716.919922,3563910000
2017-06-28,11771.139648,11827.5,11771.139648,11812.799805,11812.799805,3500800000
2017-06-29,11835.5,11837.599609,11683.30957,11739.980469,11739.980469,3900280000
2017-06-30,11777.629883,11799.459961,11738.160156,11761.700195,11761.700195,3361590000
2017-07-03,11801.44043,11869.820313,11801.44043,11835.719727,11835.719727,1962290000
2017-07-05,11826.25,11829.919922,11772.919922,11809.490234,11809.490234,3367220000
2017-07-06,11766.129883,11771.179688,11694.080078,11702.429688,11702.429688,3364520000
2017-07-07,11713.660156,11757.55957,11698.070313,11752.980469,11752.980469,2901330000
2017-07-10,11744.240234,11776.900391,11733.740234,11751.790039,11751.790039,2999130000
2017-07-11,11748.230469,11759.169922,11684.75,11744.769531,11744.769531,3106750000
2017-07-12,11794.429688,11846.0,11794.429688,11825.900391,11825.900391,3171620000
2017-07-13,11832.780273,11849.389648,11810.049805,11844.620117,11844.620117,3067670000
2017-07-14,11844.030273,11918.169922,11838.549805,11897.30957,11897.30957,2736640000
2017-07-17,11894.69043,11910.849609,11882.360352,11890.509766,11890.509766,2793170000
2017-07-18,11878.769531,11879.969727,11843.820313,11877.419922,11877.419922,2962130000
2017-07-19,11894.339844,11941.379883,11893.419922,11941.339844,11941.339844,3059760000
2017-07-20,11956.269531,11963.549805,11928.669922,11944.490234,11944.490234,3182780000
2017-07-21,11944.5,11944.5,11890.589844,11924.599609,11924.599609,3059570000
2017-07-24,11918.530273,11919.610352,11891.660156,11904.709961,11904.709961,3010240000
2017-07-25,11973.05957,11985.799805,11952.219727,11965.719727,11965.719727,4108060000
2017-07-26,11983.75,11985.19043,11956.410156,11964.910156,11964.910156,3557020000
2017-07-27,11977.889648,11977.889648,11911.790039,11963.230469,11963.230469,3995520000
2017-07-28,11950.599609,11959.860352,11923.160156,11954.69043,11954.69043,3294770000
2017-07-31,11976.209961,11989.530273,11950.580078,11967.669922,11967.669922,3469210000
2017-08-01,12006.740234,12012.650391,11978.950195,12000.019531,12000.019531,3460860000
2017-08-02,11979.099609,11981.410156,11938.900391,11979.370117,11979.370117,3478580000
2017-08-03,11968.480469,11975.419922,11944.19043,11956.519531,11956.519531,3645020000
2017-08-04,11982.030273,11994.950195,11959.990234,11984.889648,11984.889648,3235140000
2017-08-07,11983.719727,11987.790039,11969.94043,11987.769531,11987.769531,2931780000
2017-08-08,11987.769531,12019.849609,11931.709961,11949.969727,11949.969727,3344640000
2017-08-09,11906.629883,11930.129883,11896.360352,11929.459961,11929.459961,3308060000
2017-08-10,11889.280273,11889.280273,11770.480469,11771.599609,11771.599609,3621070000
2017-08-11,11754.400391,11791.379883,11753.299805,11763.219727,11763.219727,3159930000
2017-08-14,11820.179688,11879.030273,11820.179688,11856.05957,11856.05957,2822550000
2017-08-15,11861.179688,11862.480469,11829.950195,11843.480469,11843.480469,2913100000
2017-08-16,11868.179688,11891.040039,11857.469727,11868.860352,11868.860352,2953650000
2017-08-17,11839.910156,11856.490234,11712.599609,11712.719727,11712.719727,3142620000
2017-08-18,11702.009766,11753.830078,11670.879883,11699.830078,11699.830078,3415680000
2017-08-21,11700.110352,11726.900391,11678.209961,11719.269531,11719.269531,2788150000
2017-08-22,11743.410156,11813.910156,11743.410156,11805.290039,11805.290039,2777490000
2017-08-23,11770.650391,11805.490234,11758.990234,11785.919922,11785.919922,2785290000
2017-08-24,11806.889648,11816.599609,11769.990234,11773.799805,11773.799805,2846590000
2017-08-25,11804.879883,11845.5,11804.879883,11812.030273,11812.030273,2588780000
2017-08-28,11831.019531,11836.459961,11776.450195,11800.219727,11800.219727,2677700000
2017-08-29,11733.799805,11801.410156,11728.980469,11791.879883,11791.879883,2737580000
2017-08-30,11783.379883,11818.679688,11770.05957,11805.070313,11805.070313,2633660000
2017-08-31,11833.879883,11890.30957,11833.879883,11875.69043,11875.69043,3348110000
2017-09-01,11897.969727,11934.969727,11897.969727,11918.080078,11918.080078,2710730000
2017-09-05,11894.929688,11898.120117,11783.870117,11827.150391,11827.150391,3490260000
2017-09-06,11859.320313,11889.269531,11855.150391,11872.919922,11872.919922,3374410000
2017-09-07,11896.799805,11899.610352,11858.740234,11879.610352,11879.610352,3353930000
2017-09-08,11873.990234,11902.44043,11861.740234,11887.980469,11887.980469,3302490000
2017-09-11,11943.469727,12015.790039,11943.469727,12010.370117,12010.370117,3291760000
2017-09-12,12029.790039,12061.049805,12028.709961,12057.120117,12057.120117,3230920000
2017-09-13,12049.719727,12063.25,12044.660156,12055.179688,12055.179688,3368050000
2017-09-14,12042.540039,12065.799805,12033.639648,12062.620117,12062.620117,3414460000
2017-09-15,12065.330078,12080.679688,12050.519531,12080.139648,12080.139648,4853170000
2017-09-18,12094.830078,12123.740234,12091.730469,12111.450195,12111.450195,3194300000
2017-09-19,12126.230469,12137.599609,12116.629883,12131.730469,12131.730469,3249100000
2017-09-20,12137.490234,12158.980469,12103.129883,12147.5,12147.5,3530010000
2017-09-21,12140.209961,12152.769531,12120.879883,12133.629883,12133.629883,2930860000
2017-09-22,12134.450195,12156.099609,12133.69043,12151.799805,12151.799805,2865960000
2017-09-25,12144.070313,12165.240234,12108.009766,12141.55957,12141.55957,3297890000
2017-09-26,12142.05957,12156.5,12125.75,12127.919922,12127.919922,3043110000
2017-09-27,12154.549805,12173.339844,12112.120117,12157.650391,12157.650391,3456030000
2017-09-28,12147.610352,12183.669922,12142.980469,12179.30957,12179.30957,3168620000
2017-09-29,12179.30957,12209.450195,12172.120117,12209.160156,12209.160156,3211920000
2017-10-02,12209.160156,12265.389648,12200.129883,12264.660156,12264.660156,3199730000
2017-10-03,12274.730469,12303.719727,12266.519531,12302.879883,12302.879883,3068850000
2017-10-04,12298.110352,12320.030273,12289.169922,12304.669922,12304.669922,3017120000
2017-10-05,12307.719727,12351.139648,12303.049805,12338.929688,12338.929688,3045120000
2017-10-06,12314.610352,12317.980469,12291.870117,12317.69043,12317.69043,2884570000
2017-10-09,12328.19043,12334.30957,12281.169922,12293.950195,12293.950195,2483970000
2017-10-10,12329.650391,12356.0,12321.610352,12346.589844,12346.589844,2960500000
2017-10-11,12347.209961,12362.19043,12338.179688,12362.05957,12362.05957,2976090000
2017-10-12,12342.150391,12353.139648,12325.030273,12338.740234,12338.740234,3151510000
2017-10-13,12360.870117,12377.889648,12350.030273,12352.0,12352.0,3149440000
2017-10-16,12365.990234,12377.25,12343.179688,12359.519531,12359.519531,2916020000
2017-10-17,12355.219727,12357.639648,12332.25,12349.969727,12349.969727,2889390000
2017-10-18,12371.299805,12382.589844,12358.099609,12371.019531,12371.019531,2998090000
2017-10-19,12336.150391,12381.519531,12322.129883,12380.320313,12380.320313,2990710000
2017-10-20,12407.980469,12430.650391,12401.639648,12430.519531,12430.519531,3384650000
2017-10-23,12436.759766,12443.799805,12383.360352,12384.419922,12384.419922,3211710000
2017-10-24,12405.969727,12419.509766,12397.259766,12404.990234,12404.990234,3427330000
2017-10-25,12406.200195,12406.200195,12280.30957,12336.580078,12336.580078,3874510000
2017-10-26,12362.839844,12380.280273,12350.5,12352.429688,12352.429688,3869050000
2017-10-27,12339.650391,12366.700195,12308.360352,12366.429688,12366.429688,3887110000
2017-10-30,12349.360352,12354.55957,12308.839844,12319.469727,12319.469727,3658870000
2017-10-31,12333.820313,12358.759766,12322.450195,12341.009766,12341.009766,3827230000
2017-11-01,12383.870117,12414.599609,12352.099609,12362.879883,12362.879883,3813180000
2017-11-02,12359.290039,12377.089844,12316.769531,12372.959961,12372.959961,4048270000
2017-11-03,12361.019531,12376.230469,12340.889648,12373.05957,12373.05957,3567710000
2017-11-06,12373.070313,12410.660156,12365.509766,12400.929688,12400.929688,3539080000
2017-11-07,12398.790039,12415.959961,12344.639648,12371.25,12371.25,3809650000
2017-11-08,12361.230469,12390.530273,12344.150391,12384.719727,12384.719727,3899360000
2017-11-09,12326.320313,12350.700195,12268.070313,12339.660156,12339.660156,3831610000
2017-11-10,12324.379883,12332.240234,12303.860352,12322.599609,12322.599609,3486910000
2017-11-13,12281.19043,12328.160156,12272.209961,12316.820313,12316.820313,3402930000
2017-11-14,12316.830078,12316.830078,12238.080078,12280.110352,12280.110352,3641760000
2017-11-15,12222.089844,12250.919922,12178.889648,12220.339844,12220.339844,3558890000
2017-11-16,12258.780273,12321.900391,12258.780273,12303.280273,12303.280273,3312710000
2017-11-17,12281.280273,12314.69043,12277.30957,12302.889648,12302.889648,3300160000
